REEF_ID,SECTOR,SHELF,REEF_NAME,LATITUDE,LONGITUDE,P_CODE,YEAR_CODE,VISIT_NO,REPORT_YEAR,SAMPLE_DATE,SAMPLE_YEAR,SAMPLE_MONTH,REEF_YEAR_CODE_ID,TEMPERATURE,TEMPERATURE_YEAR_AVE,MEDIAN_LIVE_CORAL,MEDIAN_SOFT_CORAL,MEDIAN_DEAD_CORAL,MEAN_LIVE_CORAL,MEAN_SOFT_CORAL,MEAN_DEAD_CORAL,TOTAL_COTS,TOWS,MEAN_COTS_PER_TOW,TOTAL_TROUT,MEAN_TROUT_PER_TOW,SITE_NO,SITE_LATITUDE,SITE_LONGITUDE,SITE_SAMPLE_DATE,ALGAE_COVER,HARD_CORAL_COVER,SOFT_CORAL_COVER,OTHER_COVER
18032S,TO,M,RIB REEF,-18.483333,146.883333,RM,199394,2,1994,12/12/1993,1993,12,18032S199394,31.1,29.0,45.0,0.0,0.0,34.295,0.0,0.513,1,39,0.026,0,0.0,1,-18.471817,146.87865,13/12/1993,34.19,43.63,9.3,12.88
18034S,TO,O,MYRMIDON REEF,-18.266667,147.391667,RM,199293,1,1993,15/08/1992,1992,8,18034S199293,26.5,29.4,20.0,0.0,0.0,29.135,0.0,1.923,0,52,0.0,0,0.0,1,-18.257167,147.381267,14/08/1992,50.55,27.74,17.36,4.35
18039S,TO,O,DIP REEF,-18.416667,147.458333,RM,199293,1,1993,28/05/1992,1992,5,18039S199293,28.5,29.4,20.0,0.0,0.0,14.146,0.0,0.976,0,41,0.0,0,0.0,1,-18.399867,147.4519,17/08/1992,57.67,20.38,14.56,7.39
18042S,TO,M,ROXBURGH REEF,-18.433333,147.066667,RAP,200506,14,2006,21/09/2006,2006,9,18042S200506,27.5,29.0,15.0,2.5,1.25,15.909,2.727,1.25,0,22,0.0,6,0.272727273,1,-18.428333,147.0593,22/09/2006,77.5,16.0,4.9,1.6
18043S,TO,M,FORE AND AFT REEF,-18.5,147.033333,RAP,200506,14,2006,12/07/2006,2006,7,18043S200506,25.3,29.0,2.5,2.5,0.0,2.663,2.5,0.163,0,46,0.0,9,0.195652174,1,-18.474133,147.054817,12/07/2006,74.06,3.41,4.71,17.82
18065S,TO,I,HAVANNAH REEF,-18.85,146.541667,RM,199697,5,1997,2/07/1997,1997,7,18065S199697,25.5,28.7,45.0,0.0,0.0,48.295,0.0,1.136,0,33,0.0,0,0.0,1,-18.8315,146.537367,1/07/1997,44.02,38.73,14.17,3.08
18075S,TO,M,JOHN BREWER REEF,-18.633333,147.058333,RM,199293,1,1993,8/04/1992,1992,4,18075S199293,30.2,29.4,20.0,0.0,0.0,12.785,0.0,2.342,0,79,0.0,0,0.0,1,-18.618817,147.081467,13/08/1992,75.81,11.15,2.61,10.43
18076S,TO,M,HELIX REEF,-18.633333,147.3,RAP,200506,14,2006,9/12/2005,2005,12,18076S200506,33.4,29.8,25.0,2.5,2.5,33.971,2.5,2.5,16,17,0.941,0,0.0,1,-18.620067,147.297567,10/12/2005,64.45,28.54,1.8,5.2
18077S,TO,M,GRUB REEF(18077),-18.633333,147.425,RAP,200506,14,2006,10/07/2006,2006,7,18077S200506,25.3,29.0,2.5,2.5,2.5,7.955,3.125,1.42,6,44,0.136,4,0.090909091,1,-18.621567,147.432667,10/07/2006,48.2,6.5,0.9,44.4
18081S,TO,O,KNIFE REEF,-18.583333,147.558333,RAP,200506,14,2006,23/09/2006,2006,9,18081S200506,27.5,29.0,25.0,2.5,2.5,19.286,3.036,2.5,4,28,0.143,3,0.107142857,1,-18.571067,147.577183,23/09/2006,69.3,21.74,4.33,4.63
18083S,TO,O,FORK REEF,-18.616667,147.558333,RAP,200708,16,2008,19/05/2008,2008,5,18083S200708,27.6,29.0,25.0,2.5,0.0,20.603,3.017,0.603,0,29,0.0,24,0.827586207,1,-18.6054,147.570317,20/05/2008,58.15,8.62,1.45,31.78
18086S,TO,O,CHICKEN REEF,-18.658333,147.708333,RM,199394,2,1994,7/12/1993,1993,12,18086S199394,31.1,29.0,25.0,0.0,1.25,20.125,0.0,1.25,0,40,0.0,0,0.0,1,-18.652117,147.7217,8/12/1993,59.99,28.94,7.96,3.1
18088S,TO,M,CENTIPEDE REEF,-18.725,147.541667,RAP,200506,14,2006,26/09/2006,2006,9,18088S200506,27.5,29.0,2.5,2.5,2.5,5.351,2.368,1.491,104,57,1.825,32,0.561403509,1,-18.732367,147.553983,26/09/2006,87.1,8.5,0.6,3.8
18091S,TO,M,LYNCHS REEF,-18.775,147.708333,RAP,200506,14,2006,25/09/2006,2006,9,18091S200506,27.5,29.0,2.5,2.5,0.0,3.158,2.632,0.461,0,38,0.0,33,0.868421053,1,-18.7318,147.7218,25/09/2006,86.89,0.8,2.0,10.31
18096S,TO,M,DAVIES REEF,-18.825,147.641667,RM,199293,1,1993,18/08/1992,1992,8,18096S199293,26.5,29.4,20.0,0.0,0.0,21.705,0.0,1.591,2,44,0.045,0,0.0,1,-18.806,147.668617,19/08/1992,54.94,30.55,3.08,11.43
19131S,WH,M,19131S,-19.766667,149.366667,RM,199394,2,1994,1/04/1994,1994,4,19131S199394,26.0,26.3,35.0,0.0,2.5,31.422,0.0,1.293,0,58,0.0,0,0.0,1,-19.76625,149.380333,2/04/1994,39.0,55.25,0.15,5.6
19138S,WH,M,19138S,-19.808333,149.425,RM,199394,2,1994,3/04/1994,1994,4,19138S199394,26.0,26.3,25.0,0.0,2.5,25.043,0.0,1.293,0,29,0.0,0,0.0,1,-19.806867,149.430467,3/04/1994,53.07,40.81,0.92,5.21
19159S,WH,O,SLATE REEF,-19.666667,149.925,RM,199495,3,1995,8/02/1995,1995,2,19159S199495,30.3,26.9,35.0,0.0,0.0,43.077,0.0,0.256,0,39,0.0,0,0.0,1,-19.66285,149.915167,9/02/1995,22.16,49.49,15.36,12.99
19207S,WH,O,HYDE REEF,-19.758333,150.091667,RM,199394,2,1994,5/04/1994,1994,4,19207S199394,26.0,26.3,35.0,0.0,1.25,36.927,0.0,1.25,0,48,0.0,0,0.0,1,-19.738717,150.0808,5/04/1994,22.15,23.79,43.97,10.09
19209S,WH,O,REBE REEF,-19.808333,150.15,RM,199394,2,1994,6/04/1994,1994,4,19209S199394,26.0,26.3,25.0,0.0,0.0,26.694,0.0,1.048,0,31,0.0,0,0.0,1,-19.791917,150.16125,7/04/1994,40.32,24.33,26.08,9.28
20014S,WH,I,HAYMAN ISLAND REEF,-20.066667,148.891667,RM,199293,1,1993,20/06/1992,1992,6,20014S199293,22.3,27.3,20.0,0.0,0.0,25.5,0.0,0.429,0,35,0.0,0,0.0,1,-20.056983,148.8994,5/02/1993,38.22,41.87,7.96,11.95
20019S,WH,I,LANGFORD-BIRD REEF,-20.091667,148.875,RM,199293,1,1993,20/06/1992,1992,6,20019S199293,22.3,27.3,5.0,0.0,0.0,17.109,0.0,1.406,0,32,0.0,0,0.0,1,-20.07795,148.873833,7/02/1993,30.09,17.45,21.95,30.51
20067A,WH,I,BORDER ISLAND REEF (NO 1),-20.175,149.025,RM,199495,3,1995,21/02/1995,1995,2,20067A199495,30.3,26.9,15.0,0.0,0.0,18.26,0.0,0.0,0,51,0.0,0,0.0,1,-20.175317,149.035717,21/02/1995,22.69,33.71,33.01,10.59
20104S,WH,M,20104S,-20.033333,149.683333,RM,199293,1,1993,11/02/1993,1993,2,20104S199293,29.4,26.6,5.0,0.0,5.0,12.2,0.0,2.6,0,25,0.0,0,0.0,1,-20.029433,149.6951,11/02/1993,69.32,8.05,1.87,20.75
20309S,PO,M,TERN REEF(20309),-20.908333,150.033333,RAP,200506,14,2006,2/07/2006,2006,7,20309S200506,21.5,26.5,35.0,2.5,2.5,38.657,3.889,2.5,0,27,0.0,13,0.481481481,1,-20.899083,150.028933,2/07/2006,48.86,41.53,8.01,1.6
20348S,PO,M,20348S,-20.891667,150.958333,RAP,201516,24,2016,5/03/2016,2016,3,20348S201516,29.1,27.5,15.0,2.5,2.5,12.339,2.46,1.653,0,62,0.0,106,1.709677419,1,-20.882867,150.9389,4/03/2016,76.5,10.0,0.5,13.0
20351A,PO,M,POMPEY REEF (NO 1),-20.941667,150.533333,RAP,200910,18,2010,22/02/2010,2010,2,20351A200910,30.4,26.4,7.5,2.5,2.5,15.179,3.214,2.092,0,49,0.0,45,0.918367347,1,-20.920117,150.558167,22/02/2010,51.7,42.0,2.3,4.0
20351B,PO,M,POMPEY REEF (NO 2),-20.991667,150.525,RAP,201112,20,2012,14/01/2012,2012,1,20351B201112,29.9,26.4,7.5,2.5,0.0,17.972,5.5,0.722,0,45,0.0,53,1.177777778,1,-20.991467,150.53855,14/01/2012,75.5,15.8,4.6,4.1
20353S,PO,M,20353S,-20.966667,150.916667,RAP,201112,20,2012,17/01/2012,2012,1,20353S201112,29.9,26.4,2.5,2.5,0.0,9.327,2.404,0.769,2,26,0.077,84,3.230769231,1,-20.959883,150.927033,17/01/2012,82.2,13.2,0.3,4.3
21025S,PO,M,PENRITH REEF,-21.016667,149.9,RAP,200910,18,2010,19/02/2010,2010,2,21025S200910,30.4,26.4,25.0,2.5,2.5,22.745,7.108,2.157,0,51,0.0,0,0.0,1,-21.003167,149.887517,19/02/2010,37.94,28.42,20.63,13.02
21060S,PO,M,21060S,-21.016667,150.608333,RAP,200910,18,2010,24/02/2010,2010,2,21060S200910,30.4,26.4,7.5,2.5,2.5,10.909,2.273,2.386,11,22,0.5,6,0.272727273,1,-21.006783,150.595067,24/02/2010,86.0,4.8,5.3,3.9
21062S,PO,M,21062S,-21.033333,150.866667,RAP,201516,24,2016,6/03/2016,2016,3,21062S201516,29.1,27.5,2.5,2.5,2.5,6.731,2.5,1.538,18,39,0.462,14,0.358974359,1,-21.026567,150.853783,6/03/2016,88.6,5.5,0.4,5.5
21064S,PO,M,21064S,-21.058333,150.775,RAP,201112,20,2012,18/01/2012,2012,1,21064S201112,29.9,26.4,25.0,2.5,2.5,27.083,2.976,1.786,11,21,0.524,13,0.619047619,1,-21.050633,150.784317,18/01/2012,81.5,12.3,1.0,5.2
21139S,PO,M,21139S,-21.475,151.475,RAP,201112,20,2012,12/01/2012,2012,1,21139S201112,29.9,26.4,7.5,2.5,0.0,16.14,2.588,0.877,0,57,0.0,215,3.771929825,1,-21.454733,151.4654,12/01/2012,48.28,26.75,3.41,21.56
21187S,PO,M,21187S,-21.416667,151.641667,RAP,201112,20,2012,11/01/2012,2012,1,21187S201112,29.9,26.4,2.5,2.5,0.0,13.807,2.443,1.023,0,44,0.0,83,1.886363636,1,-21.4054,151.638433,11/01/2012,64.1,25.0,2.4,8.5
21245S,SW,M,21245S,-21.308333,152.441667,RAP,201516,24,2016,7/01/2016,2016,1,21245S201516,32.0,27.8,25.0,2.5,2.5,22.885,2.788,1.923,0,52,0.0,28,0.538461538,1,-21.296467,152.442483,8/01/2016,73.6,24.3,1.7,0.4
21278S,SW,M,21278S,-21.108333,152.55,RAP,201516,24,2016,7/01/2016,2016,1,21278S201516,32.0,27.8,25.0,2.5,2.5,29.355,3.145,1.371,0,31,0.0,51,1.64516129,1,-21.108533,152.5502,6/01/2016,59.3,31.2,4.1,5.4
21296S,SW,O,21296S,-21.341667,152.55,RAP,200506,14,2006,15/01/2006,2006,1,21296S200506,32.3,26.9,7.5,2.5,0.0,12.744,2.744,0.854,0,41,0.0,38,0.926829268,1,-21.328317,152.565567,15/01/2006,73.9,8.1,7.0,11.0
21302S,SW,O,21302S,-21.433333,152.575,RAP,200506,14,2006,18/01/2006,2006,1,21302S200506,32.3,26.9,45.0,7.5,0.0,39.5,9.3,0.0,0,25,0.0,16,0.64,1,-21.423733,152.581767,18/01/2006,55.9,25.0,17.2,1.9
